link,lat,lon
https://www.pisos.com/comprar/casa_adosada-camarma_de_esteruelas_centro_urbano-40846660855_101800/,40.544,-3.37913
https://www.pisos.com/comprar/piso-rivas_urbanizaciones28523-53369068467_100200/,40.3632811,-3.54189
https://www.pisos.com/comprar/atico-lista_barrio28028-51721225603_100500/,40.4352088,-3.6754786
https://www.pisos.com/comprar/atico-recoletos28001-46762124605_524671/,40.4281322,-3.6814351
https://www.pisos.com/comprar/piso-gaztambide28015-48360443611_101800/,40.4368919,-3.7164197
https://www.pisos.com/comprar/piso-gaztambide28015-51696023264_100500/,40.4352979,-3.7169488
https://www.pisos.com/comprar/chalet-boadilla_del_monte_las_lomas-47518911706_101800/,40.4397455,-3.8984463
https://www.pisos.com/comprar/piso-trafalgar28010-43384620471_101800/,40.4292418,-3.6997826
https://www.pisos.com/comprar/piso-recoletos28009-45922635651_524671/,40.4222617,-3.6809625
https://www.pisos.com/comprar/piso-recoletos28001-45865318562_100500/,40.422744896,-3.68038587
https://www.pisos.com/comprar/chalet-bonanza_distrito-53410933913_107700/,40.4496,-3.902
https://www.pisos.com/comprar/piso-justicia_chueca28004-50837212406_101800/,40.4223172,-3.6985394
https://www.pisos.com/comprar/casa_adosada-camarma_de_esteruelas_centro_urbano-51720200969_101800/,40.5429758,-3.380056631
https://www.pisos.com/comprar/atico-goya28009-49187727716_524350/,40.4258599,-3.6719534
https://www.pisos.com/comprar/chalet-villaviciosa_de_odon_el_bosque28670-39265261528_100500/,40.3871547,-3.9370767
https://www.pisos.com/comprar/chalet-zona_carretera_del_plantio28221-44220178488_102100/,40.473417612,-3.848907563
https://www.pisos.com/comprar/piso-universidad_malasana28004-51748571766_994129/,40.429104,-3.7048678
https://www.pisos.com/comprar/piso-penagrande28035-52521494207_520919/,40.480687,-3.7206337
https://www.pisos.com/comprar/chalet-el_vellon_centro_urbano-35857860684_100500/,40.768276448,-3.541980126
https://www.pisos.com/comprar/piso-centro_palacio28005-36715674346_109300/,40.4128318,-3.7087894
https://www.pisos.com/comprar/chalet-moncloa_aravaca_el_plantio-27560154573_101800/,40.4767,-3.82927
https://www.pisos.com/comprar/piso-chamberi_almagro28010-49238708783_101800/,40.4358391,-3.6965928
https://www.pisos.com/comprar/chalet-el_olivar_de_mirabal28669-51666719587_102100/,40.4218215,-3.9017009
https://www.pisos.com/comprar/piso-guindalera28028-51736838591_440000/,40.4322264,-3.6718874
https://www.pisos.com/comprar/atico-rejas28022-51751447948_100500/,40.4446441,-3.5927182
https://www.pisos.com/comprar/casa_unifamiliar-casa_de_campo28008-48337018422_100200/,40.4291587,-3.7331899
https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-51732176084_515002/,40.2792827,-3.7968309
https://www.pisos.com/comprar/piso-chamberi_vallehermoso28003-52551088980_992099/,40.4392051,-3.7073965
https://www.pisos.com/comprar/piso-sanchinarro28050-50925555864_109300/,40.4981609,-3.6531953
https://www.pisos.com/comprar/piso-recoletos28001-38374046801_149200/,40.4225413,-3.6859868
https://www.pisos.com/comprar/chalet-zona_parque_sur-52538769677_529518/,40.600273,-3.7010279
https://www.pisos.com/comprar/chalet-apostol_santiago-52502867598_104700/,40.475082,-3.662385
https://www.pisos.com/comprar/atico-trafalgar28010-50096497309_101800/,40.4312311,-3.6989864
https://www.pisos.com/comprar/piso-universidad_malasana28015-53385760390_100500/,40.4261913,-3.707579
