index,titulo_y,ubicacion_y,precio_num,habitaciones_num,baños_num,metros_num,superficie_construida_num,superficie_util_num,link,url,lat,lon
311,Piso en calle de San Bernardo,Palacio (Distrito Centro. Madrid Capital),3400.0,5.0,2.0,215.0,215.0,200.0,https://www.pisos.com/alquilar/piso-centro_palacio28013-53390458004_523453/,https://www.pisos.com/alquilar/piso-centro_palacio28013-53390458004_523453/,40.421096,-3.7082807
312,Piso en calle de Narciso Serra,Pacífico (Distrito Retiro. Madrid Capital),2350.0,2.0,2.0,105.0,105.0,95.0,https://www.pisos.com/alquilar/piso-retiro_pacifico28007-52566687472_100500/,https://www.pisos.com/alquilar/piso-retiro_pacifico28007-52566687472_100500/,40.4061858,-3.6777934
313,Piso en Nueva Alcalá,Nueva Alcalá (Distrito Reyes Católicos. Alcalá de Henares),1050.0,4.0,2.0,110.0,110.0,110.0,https://www.pisos.com/alquilar/piso-nueva_alcala28803-34244847101_519322/,https://www.pisos.com/alquilar/piso-nueva_alcala28803-34244847101_519322/,40.477193,-3.373977
314,Piso en Avenida de Menéndez Pelayo,Ibiza (Distrito Retiro. Madrid Capital),2600.0,3.0,2.0,120.0,120.0,108.0,https://www.pisos.com/alquilar/piso-ibiza28009-52578158619_992439/,https://www.pisos.com/alquilar/piso-ibiza28009-52578158619_992439/,40.420663194,-3.679591742
315,Chalet adosado en calle del Júcar,El Bosque (Villaviciosa de Odón),2500.0,4.0,3.0,230.0,230.0,220.0,https://www.pisos.com/alquilar/chalet_adosado-villaviciosa_de_odon_el_bosque28670-51696973800_514034/,https://www.pisos.com/alquilar/chalet_adosado-villaviciosa_de_odon_el_bosque28670-51696973800_514034/,40.390339872,-3.919142487
316,Piso en calle de Enrique Granados,La Tenería I-La Tenería II (Pinto),1110.0,2.0,1.0,69.0,69.0,55.0,https://www.pisos.com/alquilar/piso-la_teneria_i_la_teneria_ii-51674674679_108900/,https://www.pisos.com/alquilar/piso-la_teneria_i_la_teneria_ii-51674674679_108900/,40.261086433,-3.701749164
317,Piso en calle de Sinesio Delgado,Almenara (Distrito Tetuán. Madrid Capital),1850.0,2.0,1.0,81.0,81.0,72.0,https://www.pisos.com/alquilar/piso-tetuan_almenara28029-53425616883_517093/,https://www.pisos.com/alquilar/piso-tetuan_almenara28029-53425616883_517093/,40.4740588,-3.6878684
318,Apartamento en Lavapiés-Embajadores,Acacias (Distrito Arganzuela. Madrid Capital),2500.0,2.0,2.0,96.0,96.0,76.0,https://www.pisos.com/alquilar/apartamento-acacias28005-53344964139_100500/,https://www.pisos.com/alquilar/apartamento-acacias28005-53344964139_100500/,40.4050925,-3.7066155
320,"Estudio en calle de la Jacaranda, 10",Atocha (Distrito Arganzuela. Madrid Capital),1044.0,1.0,45.0,,45.0,,https://www.pisos.com/alquilar/estudio-atocha28045-4698890348_109700/,https://www.pisos.com/alquilar/estudio-atocha28045-4698890348_109700/,40.398584,-3.6779918
321,Piso en Avenida de María Moliner,Leganés Norte (Leganés),1240.0,2.0,98.0,4.0,98.0,70.0,https://www.pisos.com/alquilar/piso-leganes_norte28919-52504254835_108900/,https://www.pisos.com/alquilar/piso-leganes_norte28919-52504254835_108900/,40.3437933,-3.7441431
326,Ático en Avenida de Europa,Zona Avenida de Europa (Pozuelo de Alarcón),1600.0,2.0,2.0,78.0,78.0,72.0,https://www.pisos.com/alquilar/atico-zona_avenida_de_europa28224-50846237703_528316/,https://www.pisos.com/alquilar/atico-zona_avenida_de_europa28224-50846237703_528316/,40.443610872,-3.784467437
327,Piso en Valdezarza,Valdezarza (Distrito Moncloa-Aravaca. Madrid Capital),950.0,1.0,1.0,50.0,50.0,,https://www.pisos.com/alquilar/piso-valdezarza28035-45021521231_101800/,https://www.pisos.com/alquilar/piso-valdezarza28035-45021521231_101800/,40.4667407,-3.7229227
328,Piso en Yucatán-La Cornisa,Yucatán-La Cornisa (Las Rozas de Madrid),1500.0,2.0,2.0,90.0,90.0,,https://www.pisos.com/alquilar/piso-yucatan_la_cornisa-52599739093_101800/,https://www.pisos.com/alquilar/piso-yucatan_la_cornisa-52599739093_101800/,40.483043,-3.868672
329,Piso en Avenida de Pocito de las Nieves,Centro (Las Rozas de Madrid),875.0,1.0,1.0,58.0,,,https://www.pisos.com/alquilar/piso-las_rozas_de_madrid_centro28231-22543500962_100500/,https://www.pisos.com/alquilar/piso-las_rozas_de_madrid_centro28231-22543500962_100500/,,
330,Piso en calle del Terral,Prado de Somosaguas (Pozuelo de Alarcón),2200.0,3.0,3.0,156.0,156.0,156.0,https://www.pisos.com/alquilar/piso-prado_de_somosaguas-50898965913_280500/,https://www.pisos.com/alquilar/piso-prado_de_somosaguas-50898965913_280500/,40.4074908,-3.7978506
331,"Piso en calle de Alcalá, 170",Fuente del Berro (Distrito Barrio de Salamanca. Madrid Capital),1700.0,3.0,1.0,65.0,65.0,50.0,https://www.pisos.com/alquilar/piso-fuente_del_berro28028-575224267_440000/,https://www.pisos.com/alquilar/piso-fuente_del_berro28028-575224267_440000/,40.4290471,-3.6664739
332,"Apartamento en calle de Donoso Cortés, 56",Gaztambide (Distrito Chamberí. Madrid Capital),2500.0,3.0,1.0,67.0,67.0,67.0,https://www.pisos.com/alquilar/apartamento-gaztambide28015-39252028451_527206/,https://www.pisos.com/alquilar/apartamento-gaztambide28015-39252028451_527206/,40.43644139206871,-3.711928585510275
333,Ático en calle de Embajadores,Acacias (Distrito Arganzuela. Madrid Capital),2000.0,1.0,2.0,75.0,75.0,70.0,https://www.pisos.com/alquilar/atico-acacias28012-53345614126_100500/,https://www.pisos.com/alquilar/atico-acacias28012-53345614126_100500/,40.4026525,-3.7009703
334,Estudio en Avenida de la Ciudad de Barcelona,Adelfas (Distrito Retiro. Madrid Capital),800.0,1.0,35.0,,35.0,32.0,https://www.pisos.com/alquilar/estudio-adelfas28007-22506333324_100500/,https://www.pisos.com/alquilar/estudio-adelfas28007-22506333324_100500/,40.4001997,-3.6724843
335,Piso en Zaburdón,Las Cebadillas-Zaburdón-Monte Escorial (San Lorenzo de El Escorial),2400.0,2.0,2.0,85.0,85.0,,https://www.pisos.com/alquilar/piso-las_cebadillas_zaburdon_monte_escorial-45894251718_103800/,https://www.pisos.com/alquilar/piso-las_cebadillas_zaburdon_monte_escorial-45894251718_103800/,40.6031938,-4.1234036
336,Piso en calle de San Cayetano,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),3000.0,3.0,2.0,120.0,120.0,102.0,https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28005-53388146339_100500/,https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28005-53388146339_100500/,40.4094606,-3.7064499
337,Apartamento en calle de O'Donnell,Goya (Distrito Barrio de Salamanca. Madrid Capital),2650.0,3.0,3.0,140.0,140.0,135.0,https://www.pisos.com/alquilar/apartamento-goya28009-48363396969_100500/,https://www.pisos.com/alquilar/apartamento-goya28009-48363396969_100500/,40.4218443,-3.6785573
338,"Apartamento en calle de Garellano, 3",Bellas Vistas (Distrito Tetuán. Madrid Capital),2300.0,2.0,1.0,58.0,58.0,58.0,https://www.pisos.com/alquilar/apartamento-bellas_vistas28039-39173847142_527206/,https://www.pisos.com/alquilar/apartamento-bellas_vistas28039-39173847142_527206/,40.44801310136708,-3.706098519316339
339,Piso en calle del Cardenal Cisneros,Trafalgar (Distrito Chamberí. Madrid Capital),2500.0,2.0,1.0,80.0,80.0,70.0,https://www.pisos.com/alquilar/piso-trafalgar28010-53395424892_100500/,https://www.pisos.com/alquilar/piso-trafalgar28010-53395424892_100500/,40.4342223,-3.7026356
340,Piso en calle de Justiniano,Justicia-Chueca (Distrito Centro. Madrid Capital),2200.0,2.0,3.0,90.0,90.0,80.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-53369067944_100500/,https://www.pisos.com/alquilar/piso-justicia_chueca28004-53369067944_100500/,40.425837,-3.6953171
341,Piso en calle de Juan Hurtado de Mendoza,Nueva España (Distrito Chamartín. Madrid Capital),5200.0,4.0,4.0,240.0,240.0,215.0,https://www.pisos.com/alquilar/piso-nueva_espana28036-52579208374_100500/,https://www.pisos.com/alquilar/piso-nueva_espana28036-52579208374_100500/,40.4598182,-3.6857342
343,"Dúplex en calle de Max Aub, 5",Almagro (Distrito Chamberí. Madrid Capital),4200.0,4.0,2.0,180.0,180.0,180.0,https://www.pisos.com/alquilar/duplex-chamberi_almagro28003-39191654458_527206/,https://www.pisos.com/alquilar/duplex-chamberi_almagro28003-39191654458_527206/,40.4436001655324,-3.713347923659184
344,Piso en calle del Gobernador,Cortes-Huertas (Distrito Centro. Madrid Capital),2200.0,2.0,1.0,90.0,90.0,70.0,https://www.pisos.com/alquilar/piso-cortes_huertas28014-51712783970_528990/,https://www.pisos.com/alquilar/piso-cortes_huertas28014-51712783970_528990/,40.4114476,-3.6941195
345,Piso en Bellas Vistas,Bellas Vistas (Distrito Tetuán. Madrid Capital),1250.0,1.0,1.0,58.0,,,https://www.pisos.com/alquilar/piso-bellas_vistas28039-53351176382_100500/,https://www.pisos.com/alquilar/piso-bellas_vistas28039-53351176382_100500/,,
346,Piso en A Pocos Pasos del Metro de Goya,Goya (Distrito Salamanca. Madrid Capital),1250.0,2.0,1.0,45.0,45.0,40.0,https://www.pisos.com/alquilar/piso-goya28001-52555622761_109100/,https://www.pisos.com/alquilar/piso-goya28001-52555622761_109100/,40.4257704,-3.6754419
347,Ático en calle J A Vallejo-Najera Botas,Imperial (Distrito Arganzuela. Madrid Capital),2250.0,2.0,2.0,100.0,100.0,85.0,https://www.pisos.com/alquilar/atico-imperial28005-53386863552_100500/,https://www.pisos.com/alquilar/atico-imperial28005-53386863552_100500/,40.4045796,-3.7155048
348,Chalet unifamiliar en Pueblo,Pueblo (Pozuelo de Alarcón),4700.0,6.0,5.0,530.0,530.0,500.0,https://www.pisos.com/alquilar/chalet_unifamiliar-pueblo28223-49257433342_500635/,https://www.pisos.com/alquilar/chalet_unifamiliar-pueblo28223-49257433342_500635/,40.4407898,-3.8179766
349,Piso en calle del General Pardiñas,Goya (Distrito Barrio de Salamanca. Madrid Capital),2500.0,2.0,1.0,75.0,75.0,71.0,https://www.pisos.com/alquilar/piso-goya28001-53373737226_100500/,https://www.pisos.com/alquilar/piso-goya28001-53373737226_100500/,40.4238682,-3.6788945
350,Piso en calle de Velázquez,El Viso (Distrito Chamartín. Madrid Capital),5500.0,2.0,2.0,145.0,145.0,130.0,https://www.pisos.com/alquilar/piso-chamartin_el_viso28006-48383308958_100500/,https://www.pisos.com/alquilar/piso-chamartin_el_viso28006-48383308958_100500/,40.4399613,-3.6831678
351,"Apartamento en calle de la Santísima Trinidad, 19",Almagro (Distrito Chamberí. Madrid Capital),2100.0,1.0,1.0,87.0,87.0,87.0,https://www.pisos.com/alquilar/apartamento-chamberi_almagro28010-40846279329_527206/,https://www.pisos.com/alquilar/apartamento-chamberi_almagro28010-40846279329_527206/,40.43638648000329,-3.701032021113905
352,Piso en calle de la Luna,Universidad-Malasaña (Distrito Centro. Madrid Capital),2300.0,2.0,2.0,82.0,82.0,80.0,https://www.pisos.com/alquilar/piso-universidad_malasana28004-53387204535_100500/,https://www.pisos.com/alquilar/piso-universidad_malasana28004-53387204535_100500/,40.4220401,-3.7055502
