timestamp,titulo,precio,ubicacion,habitaciones,baños,metros,link
2025-04-09T17:36:01.767064,Chalet en Pozuelo de Alarcón,1.395.000 €,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),6 habs.,6 baños,408 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:01.839742,Piso en Avenida de Alberto Alcocer,1.100.000 €,Castilla (Distrito Chamartín. Madrid Capital),3 habs.,2 baños,153 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:01.910096,Piso en calle de López de Hoyos,395.000 €,Pinar del Rey (Distrito Hortaleza. Madrid Capital),2 habs.,1 baño,84 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:01.975059,Piso en Sol,3.450.000 €,Sol (Distrito Centro. Madrid Capital),4 habs.,3 baños,438 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:02.044020,Piso en calle de Ana Frank,339.900 €,Hospital (Valdemoro),3 habs.,2 baños,148 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:02.109982,Piso en calle de Viriato,1.540.000 €,Trafalgar (Distrito Chamberí. Madrid Capital),5 habs.,3 baños,330 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:02.180940,Piso en calle de Cadarso,850.000 €,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),3 habs.,2 baños,133 m²,https://www.pisos.com/comprar/piso-moncloa_aravaca_arguelles28008-53429136886_100200/
2025-04-09T17:36:02.251725,Ático en calle de Pradillo,1.800.000 €,Prosperidad (Distrito Chamartín. Madrid Capital),3 habs.,3 baños,190 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:02.327691,Ático en Paseo Europa,870.000 €,Vega de la Moraleja (San Sebastián de los Reyes),3 habs.,2 baños,225 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:02.385646,Casa en Muy Cerca del Parque de Quinta de los Molinos,1.380.000 €,Salvador (Distrito San Blas. Madrid Capital),250 m²,,,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:02.456607,Piso en calle de Andrés Mellado,1.150.000 €,Gaztambide (Distrito Chamberí. Madrid Capital),3 habs.,3 baños,180 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:08.739376,Chalet en Pinar-Punta Galea,1.500.000 €,Pinar-Punta Galea (Las Rozas de Madrid),5 habs.,5 baños,460 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:08.813593,Casa rústica en calle de Villaamil,299.999 €,Centro (Móstoles),8 habs.,2 baños,181 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:08.884020,Piso en calle de Joaquín Turina,689.900 €,Golf-El Carralero (Majadahonda),4 habs.,3 baños,202 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:08.953640,Piso en Peñagrande,835.000 €,Palacio (Distrito Centro. Madrid Capital),2 habs.,2 baños,95 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:09.018602,Piso en calle de Ríos Rosas,1.140.000 €,Río Rosas (Distrito Chamberí. Madrid Capital),2 habs.,2 baños,141 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:09.084564,Piso en calle de Ascao,309.900 €,Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),4 habs.,1 baño,96 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:09.150526,Piso en Trafalgar,2.775.000 €,Justicia-Chueca (Distrito Centro. Madrid Capital),4 habs.,5 baños,251 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:09.222288,Piso en Trafalgar,6.200.000 €,Almagro (Distrito Chamberí. Madrid Capital),5 habs.,4 baños,456 m²,https://www.pisos.com/venta/pisos-madrid/95/#
