titulo_y,ubicacion_y,precio_num,habitaciones_num,baños_num,metros_num,superficie_construida_num,superficie_util_num,link,es_outlier
Ático en calle de Serrano,Castellana (Distrito Barrio de Salamanca. Madrid Capital),10000.0,4.0,5.0,272.0,272.0,,https://www.pisos.com/alquilar/atico-salamanca_castellana28006-51740663097_108900/,True
Casa en Somosaguas-Húmera-Los Ángeles,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),13650.0,5.0,7.0,728.0,728.0,,https://www.pisos.com/alquilar/casa-somosaguas_humera_los_angeles28223-52540567328_101800/,True
Piso en calle San Marcos,Justicia-Chueca (Distrito Centro. Madrid Capital),12900.0,6.0,5.0,557.0,557.0,,https://www.pisos.com/alquilar/piso-justicia_chueca28004-50848116096_100500/,True
Casa pareada en La Moraleja,La Moraleja (La Moraleja),6900.0,6.0,5.0,380.0,380.0,307.0,https://www.pisos.com/alquilar/casa_pareada-la_moraleja_distrito28109-53349446716_100500/,True
Casa en Valdecabañas,Valdecabañas (Boadilla del Monte),5800.0,5.0,6.0,700.0,700.0,,https://www.pisos.com/alquilar/casa-boadilla_del_monte_valdecabanas-52577904839_108500/,True
Apartamento en calle de Juan Bravo,Lista (Distrito Salamanca. Madrid Capital),6000.0,4.0,5.0,241.0,241.0,,https://www.pisos.com/alquilar/apartamento-lista_barrio28006-50884565192_101800/,True
Chalet en Viñas Viejas,Viñas Viejas (Boadilla del Monte),8500.0,5.0,6.0,522.0,522.0,,https://www.pisos.com/alquilar/chalet-vinas_viejas-52538765093_108500/,True
Ático en calle de Ayala,Recoletos (Distrito Salamanca. Madrid Capital),9000.0,5.0,5.0,306.0,306.0,,https://www.pisos.com/alquilar/atico-recoletos28001-51708843229_108900/,True
Apartamento en calle de Núñez de Balboa,Castellana (Distrito Barrio de Salamanca. Madrid Capital),10500.0,5.0,5.0,425.0,425.0,,https://www.pisos.com/alquilar/apartamento-barrio_de_salamanca_castellana28006-52588343185_101800/,True
Casa en Somosaguas-Húmera-Los Ángeles,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),7000.0,6.0,5.0,610.0,610.0,,https://www.pisos.com/alquilar/casa-somosaguas_humera_los_angeles28223-45096909389_101800/,True
