titulo,ubicacion,precio,habitaciones,baños,metros,superficie_construida,link,url,lat,lon,piso,casa,atico,estudio,apartamento,duplex,chalet,finca,loft,conservacion,precio_m2,distrito
Piso en calle de San Bartolomé,Justicia-Chueca,2150.0,2.0,1.0,67.0,67.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-51678412110_519513/,https://www.pisos.com/alquilar/piso-justicia_chueca28004-51678412110_519513/,40.4218371,-3.6985925,True,False,False,False,False,False,False,False,False,Reformado,32.0,Centro
Piso en calle de Diego de León,Guindalera,2855.0,2.0,2.0,105.0,105.0,https://www.pisos.com/alquilar/piso-guindalera28028-42519023138_100500/,https://www.pisos.com/alquilar/piso-guindalera28028-42519023138_100500/,40.4349579,-3.6796814,True,False,False,False,False,False,False,False,False,En buen estado,26.0,Salamanca
"Apartamento en calle de Claudio Coello, 55",Castellana,2300.0,1.0,1.0,80.0,80.0,https://www.pisos.com/alquilar/apartamento-salamanca_castellana28001-40049102440_991150/,https://www.pisos.com/alquilar/apartamento-salamanca_castellana28001-40049102440_991150/,40.42734596508628,-3.686389481982757,False,False,False,False,True,False,False,False,False,En buen estado,28.0,Salamanca
Ático en Goya,Goya,2500.0,3.0,1.0,65.0,65.0,https://www.pisos.com/alquilar/atico-goya28009-53416016292_149200/,https://www.pisos.com/alquilar/atico-goya28009-53416016292_149200/,40.4271202,-3.6693755,False,False,True,False,False,False,False,False,False,Reformado,38.0,Salamanca
Piso en calle del Noviciado,Universidad-Malasaña,2750.0,1.0,1.0,150.0,150.0,https://www.pisos.com/alquilar/piso-universidad_malasana28015-51737310926_996542/,https://www.pisos.com/alquilar/piso-universidad_malasana28015-51737310926_996542/,40.4256063,-3.7085272,True,False,False,False,False,False,False,False,False,Reformado,18.0,Centro
Piso en calle de Rufino González,Simancas,1300.0,2.0,1.0,65.0,65.0,https://www.pisos.com/alquilar/piso-san_blas_simancas28037-32551600431_100500/,https://www.pisos.com/alquilar/piso-san_blas_simancas28037-32551600431_100500/,40.4390921,-3.6268521,True,False,False,False,False,False,False,False,False,En buen estado,20.0,San Blas
Piso en calle de Eguilaz,Universidad-Malasaña,3475.0,2.0,2.0,150.0,150.0,https://www.pisos.com/alquilar/piso-universidad_malasana28004-42559872299_100500/,https://www.pisos.com/alquilar/piso-universidad_malasana28004-42559872299_100500/,40.4297667,-3.7005602,True,False,False,False,False,False,False,False,False,En buen estado,22.0,Centro
Piso en Fuente del Berro,Fuente del Berro,1600.0,2.0,2.0,60.0,60.0,https://www.pisos.com/alquilar/piso-fuente_del_berro28028-52571663278_994318/,https://www.pisos.com/alquilar/piso-fuente_del_berro28028-52571663278_994318/,40.4288272,-3.6652727,True,False,False,False,False,False,False,False,False,En buen estado,26.0,Salamanca
Piso en calle de O'Donnell,Goya,3410.0,4.0,3.0,118.0,118.0,https://www.pisos.com/alquilar/piso-goya28009-42532834884_100500/,https://www.pisos.com/alquilar/piso-goya28009-42532834884_100500/,40.4216742,-3.6747799,True,False,False,False,False,False,False,False,False,En buen estado,28.0,Salamanca
Piso en calle de Velarde,Universidad-Malasaña,2785.0,2.0,2.0,80.0,80.0,https://www.pisos.com/alquilar/piso-universidad_malasana28004-42547611242_100500/,https://www.pisos.com/alquilar/piso-universidad_malasana28004-42547611242_100500/,40.4268863,-3.7031321,True,False,False,False,False,False,False,False,False,En buen estado,34.0,Centro
"Piso en calle de Fernán González, 20",Goya,4210.0,3.0,2.0,125.0,125.0,https://www.pisos.com/alquilar/piso-goya28009-42532656979_100500/,https://www.pisos.com/alquilar/piso-goya28009-42532656979_100500/,40.4229,-3.67453,True,False,False,False,False,False,False,False,False,En buen estado,33.0,Salamanca
Piso en calle de Argensola,Justicia-Chueca,2390.0,2.0,2.0,98.0,98.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-50844481964_996542/,https://www.pisos.com/alquilar/piso-justicia_chueca28004-50844481964_996542/,40.424672,-3.6952618,True,False,False,False,False,False,False,False,False,Reformado,24.0,Centro
Apartamento en calle de Atocha,Embajadores-Lavapiés,2010.0,1.0,1.0,55.0,55.0,https://www.pisos.com/alquilar/apartamento-centro_embajadores_lavapies28012-28425286595_100500/,https://www.pisos.com/alquilar/apartamento-centro_embajadores_lavapies28012-28425286595_100500/,40.4139442,-3.702561,False,False,False,False,True,False,False,False,False,En buen estado,36.0,Centro
Piso en calle de Londres,Guindalera,2500.0,2.0,2.0,81.0,81.0,https://www.pisos.com/alquilar/piso-guindalera28028-49265477296_996542/,https://www.pisos.com/alquilar/piso-guindalera28028-49265477296_996542/,40.4318455,-3.6662381,True,False,False,False,False,False,False,False,False,Reformado,30.0,Salamanca
Piso en calle de Antonio Acuña,Goya,3280.0,3.0,2.0,110.0,110.0,https://www.pisos.com/alquilar/piso-goya28009-42532634191_100500/,https://www.pisos.com/alquilar/piso-goya28009-42532634191_100500/,40.421102716,-3.679049456,True,False,False,False,False,False,False,False,False,En buen estado,29.0,Salamanca
Piso en calle de Santa Brígida,Justicia-Chueca,2270.0,1.0,1.0,48.0,48.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-43365964237_100500/,https://www.pisos.com/alquilar/piso-justicia_chueca28004-43365964237_100500/,40.4246057,-3.6997645,True,False,False,False,False,False,False,False,False,En buen estado,47.0,Centro
Piso en calle del Conde de Xiquena,Justicia-Chueca,4545.0,3.0,2.0,150.0,150.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-42543377813_100500/,https://www.pisos.com/alquilar/piso-justicia_chueca28004-42543377813_100500/,40.4236112,-3.6942221,True,False,False,False,False,False,False,False,False,En buen estado,30.0,Centro
Piso en Plaza de la Cebada,Palacio,2300.0,3.0,2.0,124.0,124.0,https://www.pisos.com/alquilar/piso-centro_palacio28005-53414250211_100500/,https://www.pisos.com/alquilar/piso-centro_palacio28005-53414250211_100500/,40.4114913,-3.7092921,True,False,False,False,False,False,False,False,False,En buen estado,18.0,Centro
Ático en calle de Pelayo,Justicia-Chueca,2800.0,1.0,1.0,62.0,62.0,https://www.pisos.com/alquilar/atico-justicia_chueca28004-42564735784_100500/,https://www.pisos.com/alquilar/atico-justicia_chueca28004-42564735784_100500/,40.4219019,-3.6990443,False,False,True,False,False,False,False,False,False,En buen estado,40.0,Centro
Piso en calle de las Huertas,Cortes-Huertas,2210.0,1.0,2.0,121.0,121.0,https://www.pisos.com/alquilar/piso-cortes_huertas28014-42564811263_100500/,https://www.pisos.com/alquilar/piso-cortes_huertas28014-42564811263_100500/,40.4139013,-3.7000178,True,False,False,False,False,False,False,False,False,En buen estado,18.0,Centro
Piso en calle del Marqués del Duero,Recoletos,2570.0,1.0,1.0,50.0,50.0,https://www.pisos.com/alquilar/piso-recoletos28001-42578597004_100500/,https://www.pisos.com/alquilar/piso-recoletos28001-42578597004_100500/,40.4205405,-3.6915859,True,False,False,False,False,False,False,False,False,En buen estado,48.0,Salamanca
Apartamento en calle Gran Vía,Palacio,2800.0,1.0,1.0,70.0,70.0,https://www.pisos.com/alquilar/apartamento-centro_palacio28013-48402318509_996542/,https://www.pisos.com/alquilar/apartamento-centro_palacio28013-48402318509_996542/,40.4223765,-3.7096117,False,False,False,False,True,False,False,False,False,Reformado,40.0,Centro
Piso en calle del General Oráa,Lista,3445.0,3.0,2.0,97.0,97.0,https://www.pisos.com/alquilar/piso-barrio_de_salamanca_lista28006-42558290067_100500/,https://www.pisos.com/alquilar/piso-barrio_de_salamanca_lista28006-42558290067_100500/,40.4361534,-3.6855837,True,False,False,False,False,False,False,False,False,En buen estado,34.0,Salamanca
Ático en calle de Calatrava,Palacio,1400.0,1.0,1.0,45.0,45.0,https://www.pisos.com/alquilar/atico-centro_palacio28005-53423424344_100500/,https://www.pisos.com/alquilar/atico-centro_palacio28005-53423424344_100500/,40.4094145,-3.7127078,False,False,True,False,False,False,False,False,False,A estrenar,31.0,Centro
Piso en calle Doctor Esquerdo,Estrella,2735.0,2.0,2.0,67.0,67.0,https://www.pisos.com/alquilar/piso-retiro_estrella28007-43409690942_100500/,https://www.pisos.com/alquilar/piso-retiro_estrella28007-43409690942_100500/,40.4274392,-3.6682128,True,False,False,False,False,False,False,False,False,En buen estado,40.0,Retiro
Piso en calle de Gravina,Justicia-Chueca,4940.0,4.0,3.0,183.0,183.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-42526444595_100500/,https://www.pisos.com/alquilar/piso-justicia_chueca28004-42526444595_100500/,40.4229605,-3.6972565,True,False,False,False,False,False,False,False,False,En buen estado,26.0,Centro
Piso en calle de Salustiano Olozaga,Recoletos,4000.0,3.0,2.0,161.0,161.0,https://www.pisos.com/alquilar/piso-recoletos28001-52529710103_100500/,https://www.pisos.com/alquilar/piso-recoletos28001-52529710103_100500/,40.4210609,-3.6911346,True,False,False,False,False,False,False,False,False,En buen estado,24.0,Salamanca
Piso en calle del General Díaz Porlier,Lista,2100.0,1.0,1.0,65.0,65.0,https://www.pisos.com/alquilar/piso-lista_barrio28006-43415878566_996542/,https://www.pisos.com/alquilar/piso-lista_barrio28006-43415878566_996542/,40.4355483,-3.6761959,True,False,False,False,False,False,False,False,False,Reformado,32.0,Salamanca
Piso en Lista,Lista,3200.0,2.0,2.0,105.0,105.0,https://www.pisos.com/alquilar/piso-lista_barrio28001-945856909199973_109700/,https://www.pisos.com/alquilar/piso-lista_barrio28001-945856909199973_109700/,40.4259289,-3.6777457,True,False,False,False,False,False,False,False,False,Reformado,30.0,Salamanca
Estudio en calle de la Sombrerería,Embajadores-Lavapiés,1100.0,1.0,1.0,40.0,40.0,https://www.pisos.com/alquilar/estudio-centro_embajadores_lavapies28012-50905421091_996542/,https://www.pisos.com/alquilar/estudio-centro_embajadores_lavapies28012-50905421091_996542/,40.4073927,-3.6999669,False,False,False,True,False,False,False,False,False,Reformado,27.0,Centro
Piso en calle San Bartome,Justicia-Chueca,2250.0,2.0,1.0,67.0,67.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-99259191372_996542/,https://www.pisos.com/alquilar/piso-justicia_chueca28004-99259191372_996542/,40.4224555,-3.6977796,True,False,False,False,False,False,False,False,False,Reformado,33.0,Centro
Piso en calle de Padilla,Lista,2685.0,2.0,1.0,70.0,70.0,https://www.pisos.com/alquilar/piso-lista_barrio28006-42501173561_100500/,https://www.pisos.com/alquilar/piso-lista_barrio28006-42501173561_100500/,40.431132,-3.6725234,True,False,False,False,False,False,False,False,False,En buen estado,31.0,Salamanca
Piso en calle del Piamonte,Justicia-Chueca,3880.0,2.0,2.0,100.0,100.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-42545578320_100500/,https://www.pisos.com/alquilar/piso-justicia_chueca28004-42545578320_100500/,40.4229736,-3.6943097,True,False,False,False,False,False,False,False,False,En buen estado,38.0,Centro
Piso en Ronda de Atocha,Atocha,3300.0,3.0,2.0,135.0,135.0,https://www.pisos.com/alquilar/piso-atocha28012-50043334595_996542/,https://www.pisos.com/alquilar/piso-atocha28012-50043334595_996542/,40.4067226,-3.6956842,True,False,False,False,False,False,False,False,False,Reformado,24.0,Arganzuela
Piso en calle de Bustamante,Palos de Moguer,1200.0,1.0,1.0,56.0,56.0,https://www.pisos.com/alquilar/piso-palos_de_moguer28045-53399039102_100500/,https://www.pisos.com/alquilar/piso-palos_de_moguer28045-53399039102_100500/,40.4007361,-3.6899896,True,False,False,False,False,False,False,False,False,En buen estado,19.0,Arganzuela
"Piso en calle de Relatores, 10",Embajadores-Lavapiés,1300.0,2.0,1.0,65.0,65.0,https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28012-51676040359_100500/,https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28012-51676040359_100500/,40.4132,-3.70324,True,False,False,False,False,False,False,False,False,En buen estado,20.0,Centro
Piso en calle de Carlos Arniches,Embajadores-Lavapiés,975.0,1.0,1.0,29.0,29.0,https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28005-49179834360_516451/,https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28005-49179834360_516451/,40.4072369,-3.7083326,True,False,False,False,False,False,False,False,False,En buen estado,33.0,Centro
"Apartamento en calle del Arenal, 8",Sol,1500.0,1.0,1.0,73.0,73.0,https://www.pisos.com/alquilar/apartamento-sol_barrio28013-50847096530_528950/,https://www.pisos.com/alquilar/apartamento-sol_barrio28013-50847096530_528950/,40.417088,-3.7055147,False,False,False,False,True,False,False,False,False,A estrenar,20.0,Centro
Piso en calle de la Bola,Palacio,2450.0,1.0,1.0,70.0,70.0,https://www.pisos.com/alquilar/piso-centro_palacio28013-42559118050_100500/,https://www.pisos.com/alquilar/piso-centro_palacio28013-42559118050_100500/,40.4203095,-3.7100163,True,False,False,False,False,False,False,False,False,En buen estado,35.0,Centro
